ts_code,trade_date,open,high,low,close
000001.SZ,20200430,14.02,14.32,13.88,13.93
600000.SH,20200430,10.58,10.79,10.56,10.63
601328.SH,20200430,5.17,5.21,5.17,5.18
000001.SZ,20200429,13.48,14.1,13.45,14.02
600000.SH,20200429,10.35,10.61,10.33,10.61
601328.SH,20200429,5.12,5.18,5.11,5.18
000001.SZ,20200428,13.45,13.56,13.27,13.52
600000.SH,20200428,10.36,10.38,10.22,10.33
601328.SH,20200428,5.16,5.17,5.11,5.15
000001.SZ,20200427,13.3,13.64,13.25,13.5
600000.SH,20200427,10.15,10.42,10.15,10.34
601328.SH,20200427,5.14,5.18,5.13,5.15
000001.SZ,20200424,13.17,13.28,13.11,13.24
600000.SH,20200424,10.06,10.09,10.01,10.06
601328.SH,20200424,5.14,5.15,5.12,5.14
000001.SZ,20200423,13.23,13.31,13.11,13.23
600000.SH,20200423,10.1,10.1,10.01,10.06
601328.SH,20200423,5.15,5.16,5.13,5.14
000001.SZ,20200422,13.37,13.42,13.16,13.23
600000.SH,20200422,10.02,10.07,9.98,10.07
601328.SH,20200422,5.14,5.15,5.11,5.14
000001.SZ,20200421,13.3,13.7,13.3,13.45
600000.SH,20200421,10.07,10.12,10.01,10.03
601328.SH,20200421,5.16,5.17,5.13,5.13
000001.SZ,20200420,12.86,13.05,12.77,12.99
600000.SH,20200420,10.15,10.19,10.09,10.11
601328.SH,20200420,5.19,5.2,5.16,5.17
000001.SZ,20200417,12.77,13.04,12.65,12.89
600000.SH,20200417,10.18,10.23,10.15,10.2
601328.SH,20200417,5.2,5.22,5.18,5.19
000001.SZ,20200416,12.79,12.79,12.54,12.68
600000.SH,20200416,10.1,10.18,10.1,10.16
601328.SH,20200416,5.16,5.2,5.16,5.2
000001.SZ,20200415,12.86,12.93,12.78,12.87
600000.SH,20200415,10.2,10.27,10.15,10.18
601328.SH,20200415,5.18,5.19,5.16,5.18
000001.SZ,20200414,12.65,12.86,12.57,12.86
600000.SH,20200414,10.17,10.25,10.12,10.25
601328.SH,20200414,5.18,5.19,5.16,5.19
000001.SZ,20200413,12.67,12.71,12.47,12.59
600000.SH,20200413,10.15,10.22,10.1,10.11
601328.SH,20200413,5.17,5.19,5.17,5.17
000001.SZ,20200410,12.76,12.98,12.65,12.79
600000.SH,20200410,10.22,10.24,10.15,10.21
601328.SH,20200410,5.18,5.19,5.16,5.18
000001.SZ,20200409,12.88,12.89,12.72,12.74
600000.SH,20200409,10.26,10.29,10.18,10.2
601328.SH,20200409,5.21,5.22,5.17,5.17
000001.SZ,20200408,12.88,12.92,12.72,12.78
600000.SH,20200408,10.25,10.29,10.18,10.24
601328.SH,20200408,5.2,5.22,5.18,5.19
000001.SZ,20200407,12.89,12.94,12.81,12.88
600000.SH,20200407,10.3,10.33,10.23,10.28
601328.SH,20200407,5.22,5.23,5.2,5.21
000001.SZ,20200403,12.82,12.89,12.55,12.61
600000.SH,20200403,10.13,10.21,10.12,10.15
601328.SH,20200403,5.19,5.2,5.16,5.17
000001.SZ,20200402,12.75,12.97,12.66,12.97
600000.SH,20200402,10.09,10.2,10.07,10.2
601328.SH,20200402,5.15,5.21,5.14,5.21
000001.SZ,20200401,12.86,13.13,12.82,12.89
600000.SH,20200401,10.11,10.26,10.09,10.09
601328.SH,20200401,5.16,5.21,5.15,5.16
000001.SZ,20200331,13.05,13.09,12.78,12.8
600000.SH,20200331,10.3,10.36,10.13,10.15
601328.SH,20200331,5.24,5.25,5.16,5.16
000001.SZ,20200330,12.85,13.04,12.76,12.94
600000.SH,20200330,10.18,10.28,10.11,10.28
601328.SH,20200330,5.15,5.24,5.14,5.22
000001.SZ,20200327,13.25,13.38,13.08,13.15
600000.SH,20200327,10.35,10.38,10.2,10.24
601328.SH,20200327,5.15,5.19,5.12,5.16
000001.SZ,20200326,12.78,13.34,12.72,13.06
600000.SH,20200326,10.1,10.37,10.08,10.23
601328.SH,20200326,5.11,5.16,5.08,5.12
000001.SZ,20200325,12.88,13.07,12.7,12.87
600000.SH,20200325,10.2,10.27,10.12,10.15
601328.SH,20200325,5.15,5.16,5.11,5.12
000001.SZ,20200324,12.4,12.68,12.27,12.61
600000.SH,20200324,10.03,10.13,9.98,10.06
601328.SH,20200324,5.07,5.11,5.05,5.09
000001.SZ,20200323,12.0,12.35,11.93,12.15
600000.SH,20200323,9.95,9.95,9.82,9.84
601328.SH,20200323,5.04,5.05,5.0,5.02
000001.SZ,20200320,12.4,12.68,12.26,12.52
600000.SH,20200320,10.12,10.18,9.96,10.09
601328.SH,20200320,5.07,5.13,5.04,5.09
000001.SZ,20200319,12.68,12.74,11.91,12.23
600000.SH,20200319,10.19,10.34,9.86,9.94
601328.SH,20200319,5.11,5.15,5.0,5.02
